날짜,구글 A_Predicted,구글 A_Actual
2006-09-18,10.929276,10.32824993133545
2006-09-19,10.971215,10.057272911071776
2006-09-20,11.019486,9.887662887573242
2006-09-21,11.0708475,10.132986068725586
2006-09-22,11.126116,10.056525230407717
2006-09-23,11.185003,10.056525230407717
2006-09-24,11.24533,10.056525230407717
2006-09-25,11.3049965,10.061506271362305
2006-09-26,11.367539,10.133484840393066
2006-09-27,11.426775,10.03510570526123
2006-09-28,11.484416,10.051544189453123
2006-09-29,11.538992,10.0097017288208
2006-09-30,11.586068,10.0097017288208
2006-10-01,11.62889,10.0097017288208
2006-10-02,11.66747,9.998245239257812
2006-10-03,11.70763,10.063000679016112
2006-10-04,11.746873,10.353403091430664
2006-10-05,11.796238,10.256521224975586
2006-10-06,11.840861,10.472951889038086
2006-10-07,11.877143,10.472951889038086
2006-10-08,11.913508,10.472951889038086
2006-10-10,11.949708,10.626124382019045
2006-10-11,11.981249,10.622387886047363
2006-10-12,12.009332,10.64579963684082
2006-10-13,12.040065,10.64231300354004
2006-10-14,12.072295,10.64231300354004
2006-10-15,12.104019,10.64231300354004
2006-10-16,12.135745,10.504084587097168
2006-10-17,12.168382,10.4764404296875
2006-10-18,12.202611,10.443314552307127
2006-10-19,12.238778,10.61142921447754
2006-10-20,12.269299,11.44851779937744
2006-10-21,12.298045,11.44851779937744
2006-10-22,12.327362,11.44851779937744
2006-10-23,12.356054,11.974284172058104
2006-10-24,12.38237,11.788236618041992
2006-10-25,12.405791,12.11923599243164
2006-10-26,12.432893,12.081876754760742
2006-10-27,12.4628935,11.835308074951172
2006-10-28,12.496779,11.835308074951172
2006-10-29,12.525299,11.835308074951172
2006-10-30,12.553471,11.869429588317873
2006-10-31,12.580902,11.864945411682127
2006-11-01,12.611444,11.643531799316406
2006-11-02,12.645338,11.7035551071167
2006-11-03,12.675245,11.750627517700195
2006-11-04,12.699436,11.750627517700195
2006-11-05,12.72125,11.750627517700195
2006-11-06,12.742842,11.878893852233888
2006-11-07,12.764492,11.769804954528809
2006-11-08,12.791546,11.830326080322266
2006-11-09,12.820179,11.771299362182615
2006-11-10,12.848145,11.79421329498291
2006-11-11,12.87766,11.79421329498291
2006-11-12,12.90894,11.79421329498291
2006-11-13,12.939593,11.980509757995604
2006-11-14,12.968832,12.186481475830078
2006-11-15,13.001,12.25198459625244
2006-11-16,13.024509,12.350860595703123
2006-11-17,13.039748,12.42283821105957
2006-11-18,13.059345,12.42283821105957
2006-11-19,13.075802,12.42283821105957
2006-11-20,13.091572,12.329691886901855
2006-11-21,13.1059675,12.693317413330078
2006-11-22,13.120219,12.652472496032717
2006-11-24,13.133767,12.577505111694336
2006-11-25,13.1469965,12.577505111694336
2006-11-26,13.159176,12.577505111694336
2006-11-27,13.170107,12.073160171508787
2006-11-28,13.180257,12.191462516784668
2006-11-29,13.191916,12.070669174194336
2006-11-30,13.202026,12.07465362548828
2006-12-01,13.213578,11.974781036376951
2006-12-02,13.228435,11.974781036376951
2006-12-03,13.242963,11.974781036376951
2006-12-04,13.256014,12.075650215148926
2006-12-05,13.269558,12.129197120666504
2006-12-06,13.282399,12.171788215637209
2006-12-07,13.294517,12.02060890197754
2006-12-08,13.307235,12.057221412658691
2006-12-09,13.314482,12.057221412658691
2006-12-10,13.319708,12.057221412658691
2006-12-11,13.324878,12.052736282348633
2006-12-12,13.331879,11.999190330505373
2006-12-13,13.341839,11.929701805114746
2006-12-14,13.34548,12.007657051086426
2006-12-15,13.346939,11.96232795715332
2006-12-16,13.349686,11.96232795715332
2006-12-17,13.353283,11.96232795715332
2006-12-18,13.356882,11.526474952697754
2006-12-19,13.360659,11.671675682067873
2006-12-20,13.364942,11.528964042663574
2006-12-21,13.365443,11.362093925476074
2006-12-22,13.368302,11.346653938293455
2006-12-23,13.364283,11.346653938293455
2006-12-24,13.357846,11.346653938293455
2006-12-26,13.351257,11.395220756530762
2006-12-27,13.345009,11.656732559204102
2006-12-28,13.333193,11.520496368408203
2006-12-29,13.320196,11.468692779541016
2006-12-30,13.306322,11.468692779541016
2006-12-31,13.295273,11.468692779541016
2007-01-02,13.285291,11.468692779541016
2007-01-03,13.265829,11.64577293395996
2007-01-04,13.25593,12.036048889160156
2007-01-05,13.248706,12.133931159973145
2007-01-06,13.239025,12.133931159973145
2007-01-07,13.225442,12.133931159973145
2007-01-08,13.214124,12.04401969909668
2007-01-09,13.2068615,12.091838836669922
2007-01-10,13.199135,12.190465927124023
2007-01-11,13.19043,12.446002006530762
2007-01-12,13.183437,12.577505111694336
2007-01-13,13.176925,12.577505111694336
2007-01-14,13.168262,12.577505111694336
2007-01-16,13.1617775,12.55957317352295
